Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,0.815346,0.802993,0.815346,0.183906,2458771
1972-06-02,0.815346,0.817817,0.802993,0.805463,0.181677,1613885
1972-06-05,0.805463,0.807934,0.798051,0.802993,0.181120,2585251
1972-06-06,0.802993,0.825229,0.800522,0.820288,0.185021,2347469
1972-06-07,0.820288,0.820288,0.807934,0.820288,0.185021,1032077
1972-06-08,0.820288,0.822759,0.815346,0.815346,0.183906,1067491
1972-06-09,0.815346,0.822759,0.815346,0.820288,0.185021,1563293
1972-06-12,0.820288,0.835112,0.820288,0.822759,0.185578,1942733
1972-06-13,0.822759,0.835112,0.817817,0.830171,0.187250,2175456
1972-06-14,0.830171,0.835112,0.825229,0.830171,0.187250,2069213
1972-06-15,0.830171,0.837583,0.820288,0.820288,0.185021,2726909
1972-06-16,0.820288,0.835112,0.810405,0.835112,0.188364,2398061
1972-06-19,0.835112,0.844995,0.832642,0.844995,0.190594,1694832
1972-06-20,0.844995,0.849937,0.840054,0.849937,0.191708,2332291
1972-06-21,0.849937,0.854878,0.840054,0.840054,0.189479,2038858
1972-06-22,0.840054,0.847466,0.832642,0.842525,0.190036,2438534
1972-06-23,0.842525,0.844995,0.820288,0.840054,0.189479,1482346
1972-06-26,0.840054,0.840054,0.820288,0.830171,0.187250,1618944
1972-06-27,0.830171,0.837583,0.820288,0.830171,0.187250,2048976
1972-06-28,0.827700,0.827700,0.817817,0.822759,0.185578,1315392
1972-06-29,0.822759,0.835112,0.817817,0.835112,0.188364,1118083
1972-06-30,0.835112,0.849937,0.832642,0.837583,0.188922,2924218
1972-07-03,0.837583,0.844995,0.830171,0.840054,0.189479,824650
1972-07-05,0.844995,0.864761,0.844995,0.854878,0.192823,2903981
1972-07-06,0.862290,0.874644,0.862290,0.872173,0.196724,3895584
1972-07-07,0.872173,0.884527,0.867232,0.884527,0.199510,2119805
1972-07-10,0.884527,0.896881,0.882056,0.886998,0.200068,3091171
1972-07-11,0.886998,0.896881,0.886998,0.886998,0.200068,2185574
1972-07-12,0.886998,0.896881,0.884527,0.889469,0.200625,2696554
1972-07-13,0.884527,0.884527,0.859820,0.864761,0.195052,1113024
1972-07-14,0.864761,0.889469,0.862290,0.884527,0.199510,1583530
1972-07-17,0.884527,0.889469,0.862290,0.877115,0.197838,819590
1972-07-18,0.874644,0.874644,0.842525,0.867232,0.195609,1527878
1972-07-19,0.867232,0.879586,0.859820,0.872173,0.196724,2145101
1972-07-20,0.872173,0.877115,0.857349,0.859820,0.193938,1492464
1972-07-21,0.859820,0.864761,0.849937,0.864761,0.195052,956189
1972-07-24,0.864761,0.864761,0.835112,0.844995,0.190594,9733901
1972-07-25,0.847466,0.867232,0.847466,0.859820,0.193938,2696554
1972-07-26,0.859820,0.864761,0.854878,0.854878,0.192823,1355866
1972-07-27,0.854878,0.857349,0.849937,0.849937,0.191708,1133261
1972-07-28,0.852407,0.857349,0.852407,0.857349,0.193380,1128202
1972-07-31,0.857349,0.857349,0.849937,0.849937,0.191708,2043917
1972-08-01,0.849937,0.869703,0.849937,0.867232,0.195609,1806134
1972-08-02,0.869703,0.882056,0.869703,0.879586,0.198396,3020342
1972-08-03,0.879586,0.882056,0.862290,0.867232,0.195609,1305274
1972-08-04,0.867232,0.877115,0.859820,0.872173,0.196724,2145101
1972-08-07,0.872173,0.874644,0.862290,0.874644,0.197281,1962970
1972-08-08,0.874644,0.879586,0.869703,0.874644,0.197281,2403120
1972-08-09,0.874644,0.877115,0.869703,0.877115,0.197838,2479008
1972-08-10,0.877115,0.886998,0.872173,0.886998,0.200068,1163616
1972-08-11,0.886998,0.904293,0.882056,0.904293,0.203968,3162000
1972-08-14,0.904293,0.909235,0.896881,0.904293,0.203968,3313776
1972-08-15,0.904293,0.904293,0.894410,0.899352,0.202854,1254682
1972-08-16,0.899352,0.904293,0.886998,0.894410,0.201739,1532938
1972-08-17,0.894410,0.906764,0.891939,0.896881,0.202297,2726909
1972-08-18,0.894410,0.894410,0.879586,0.879586,0.198396,3050698
1972-08-21,0.879586,0.884527,0.867232,0.879586,0.198396,1295155
1972-08-22,0.879586,0.889469,0.869703,0.874644,0.197281,1431754
1972-08-23,0.874644,0.884527,0.862290,0.869703,0.196167,1654358
1972-08-24,0.869703,0.872173,0.849937,0.864761,0.195052,2155219
1972-08-25,0.864761,0.869703,0.849937,0.854878,0.192823,2823034
